Group,Filename,Full_Path,Ch0_Intensity,Ch0_LaplacianVar,Ch1_Intensity,Ch1_LaplacianVar,Ch2_Intensity,Ch2_LaplacianVar,Num_Channels
SNCA x3,003002_r06c07f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f02_Composite_RGB.tif,5692.03284122085,21501792.424882676,2614.904394718793,3302830.195701206,2633.061332304527,163177.59478317076,3
SNCA x3,003002_r06c07f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f03_Composite_RGB.tif,5494.035146604938,27489632.727824394,2974.1849828532236,4162519.8106702287,2102.5861522633745,193732.44186469965,3
SNCA x3,003002_r06c07f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f05_Composite_RGB.tif,5433.635561556927,17555669.275493827,2568.3787465706446,2287525.850961827,2733.885367798354,193276.74829953667,3
SNCA x3,003002_r06c07f06_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f06_Composite_RGB.tif,4837.5048988340195,17902054.18763339,1891.2321999314129,2211295.157349998,2386.2848302469138,158022.27993439505,3
SNCA x3,003002_r06c07f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f07_Composite_RGB.tif,2844.3873962620028,5517278.754898009,1107.0716478052127,873374.6541342699,1400.1029140946503,44894.510212085515,3
SNCA x3,003002_r06c07f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f09_Composite_RGB.tif,4913.389180384088,9715487.901963027,1789.6050128600823,1174436.3923178643,2505.884112654321,110557.06248301986,3
SNCA x3,003002_r06c07f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f10_Composite_RGB.tif,5001.886984739369,12094721.878973007,1873.9860416666668,1136036.8019124735,2482.7854466735253,140878.72539280457,3
SNCA x3,003002_r06c07f11_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f11_Composite_RGB.tif,5251.758958333333,16175588.765979322,3058.2374854252403,3637123.4137478727,2345.0804329561042,209296.92567881307,3
SNCA x3,003002_r06c07f12_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f12_Composite_RGB.tif,5840.691360596707,14589959.532504475,2777.3407424554184,2118509.4239710984,2938.8503137860084,196313.43566803832,3
SNCA x3,003002_r06c07f13_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c07f13_Composite_RGB.tif,5412.077639746228,13118726.19058354,2565.656430898491,2690420.6022202475,2526.7748876886144,172969.1685308956,3
